window,t_start,t_end,action,dominance,window_age_ms,ingestion_latency_ms,decode_time_us,interval_ms,up,down,total_spikes_so_far
1,0.21993333333333334,0.22993333333333335,HOLD,-2.0,33.612,0.2786,153.54,,0,2,7
2,0.22993333333333335,0.23993333333333336,HOLD,-1.0,23.6912,,13.83,0.219,0,0,7
3,0.23993333333333336,0.24993333333333337,HOLD,-0.6667,13.7058,,5.71,0.0227,0,0,7
4,0.24993333333333337,0.25993333333333335,HOLD,0.0,3.7185,,6.79,0.0117,0,0,7
5,0.25993333333333335,0.26993333333333336,HOLD,0.0,-6.2721,,4.71,0.0115,1,1,7
6,0.26993333333333336,0.27993333333333337,HOLD,-0.3333,-16.2628,,4.42,0.0095,0,1,7
7,0.27993333333333337,0.2899333333333334,HOLD,-1.0,13.9898,0.1104,30.79,40.2263,0,2,8
8,0.2899333333333334,0.2999333333333334,HOLD,-1.0,4.0101,,5.54,0.0455,0,0,8
9,0.2999333333333334,0.3099333333333334,HOLD,-0.6667,-5.9788,,4.67,0.012,0,0,8
10,0.3099333333333334,0.3199333333333334,HOLD,0.0,-15.9687,,5.0,0.0098,0,0,8
11,0.3199333333333334,0.3299333333333334,HOLD,-0.3333,15.9421,0.0809,19.83,41.8959,0,1,13
12,0.3299333333333334,0.3399333333333334,HOLD,-0.3333,5.9536,,4.0,0.0274,0,0,13
13,0.3399333333333334,0.34993333333333343,HOLD,-0.6667,-4.0374,,2.5,0.0105,0,1,13
14,0.34993333333333343,0.35993333333333344,HOLD,-0.3333,-14.0324,,2.25,0.0052,0,0,13
15,0.35993333333333344,0.36993333333333345,HOLD,0.0,-24.0278,,2.33,0.0045,2,1,13
16,0.36993333333333345,0.37993333333333346,HOLD,0.3333,-34.0234,,2.17,0.0046,0,0,13
17,0.37993333333333346,0.38993333333333347,HOLD,0.3333,-0.5077,0.0619,15.5,43.5024,1,1,16
18,0.38993333333333347,0.3999333333333335,HOLD,-0.3333,-10.4918,,4.0,0.0274,0,1,16
19,0.3999333333333335,0.4099333333333335,HOLD,-0.3333,-20.4818,,2.87,0.0111,0,0,16
20,0.4099333333333335,0.4199333333333335,HOLD,-0.6667,54.4162,0.0477,10.75,84.8901,0,1,19
