window,t_start,t_end,action,dominance,window_age_ms,ingestion_latency_ms,decode_time_us,interval_ms,up,down,total_spikes_so_far
1,0.1714,0.1814,HOLD,-1.0,-9.8538,0.1462,37.96,,0,1,3
2,0.1814,0.19140000000000001,HOLD,-0.5,-19.8258,,5.96,0.06,0,0,3
3,0.19140000000000001,0.20140000000000002,HOLD,-0.3333,-29.8157,,3.33,0.0128,0,0,3
4,0.20140000000000002,0.21140000000000003,HOLD,0.0,1.5972,0.0538,11.5,41.4047,1,1,5
5,0.21140000000000003,0.22140000000000004,HOLD,0.0,-8.3918,,3.42,0.0191,0,0,5
6,0.22140000000000004,0.23140000000000005,HOLD,-0.3333,-18.3835,,2.79,0.0089,0,1,5
7,0.23140000000000005,0.24140000000000006,HOLD,0.0,15.441,0.172,25.21,43.802,1,0,9
8,0.24140000000000006,0.25140000000000007,HOLD,0.0,5.4601,,5.58,0.0388,0,0,9
9,0.25140000000000007,0.2614000000000001,HOLD,0.3333,-4.5285,,5.0,0.012,0,0,9
10,0.2614000000000001,0.2714000000000001,HOLD,-0.3333,-14.5185,,4.21,0.0107,0,1,9
11,0.2714000000000001,0.2814000000000001,HOLD,-0.6667,-24.5101,,4.04,0.0086,0,1,9
12,0.2814000000000001,0.2914000000000001,HOLD,-0.3333,-34.5009,,5.08,0.0082,1,0,9
13,0.2914000000000001,0.3014000000000001,HOLD,-0.6667,-2.8748,0.0582,14.62,41.6165,0,2,11
14,0.3014000000000001,0.3114000000000001,HOLD,-0.3333,-12.8637,,3.58,0.0221,0,0,11
15,0.3114000000000001,0.32140000000000013,HOLD,-0.6667,-22.8574,,2.29,0.0076,0,0,11
16,0.32140000000000013,0.33140000000000014,HOLD,0.3333,10.204,0.0699,14.96,43.0488,1,0,15
17,0.33140000000000014,0.34140000000000015,HOLD,0.3333,0.2143,,2.92,0.0223,0,0,15
18,0.34140000000000015,0.35140000000000016,HOLD,0.3333,-9.7791,,2.17,0.0073,0,0,15
19,0.35140000000000016,0.36140000000000017,HOLD,-0.3333,-19.77,,2.21,0.0091,0,1,15
20,0.36140000000000017,0.3714000000000002,HOLD,0.0,-29.765,,2.58,0.0046,1,0,15
21,0.3714000000000002,0.3814000000000002,HOLD,0.0,2.653,0.0479,12.71,42.4079,1,1,16
22,0.3814000000000002,0.3914000000000002,HOLD,0.3333,-7.3361,,3.13,0.0205,0,0,16
23,0.3914000000000002,0.4014000000000002,HOLD,0.0,-17.324,,2.5,0.0127,0,0,16
24,0.4014000000000002,0.4114000000000002,HOLD,0.3333,15.3979,0.0465,12.63,42.7118,1,0,17
25,0.4114000000000002,0.4214000000000002,HOLD,0.3333,5.4103,,2.67,0.0224,0,0,17
26,0.4214000000000002,0.4314000000000002,HOLD,0.3333,-4.5835,,2.17,0.0066,0,0,17
27,0.4314000000000002,0.44140000000000024,HOLD,0.0,-14.5748,,6.08,0.0048,0,0,17
28,0.44140000000000024,0.45140000000000025,HOLD,0.0,-24.5521,,7.67,0.0211,0,0,17
29,0.45140000000000025,0.46140000000000025,HOLD,0.0,-34.5443,,3.04,0.0124,0,0,17
30,0.46140000000000025,0.47140000000000026,HOLD,-0.3333,-1.9775,0.0603,28.21,42.5416,0,1,18
31,0.47140000000000026,0.48140000000000027,HOLD,-0.3333,-11.9658,,5.5,0.0345,0,0,18
32,0.48140000000000027,0.4914000000000003,HOLD,-0.3333,-21.9598,,2.46,0.009,0,0,18
33,0.4914000000000003,0.5014000000000003,HOLD,0.3333,11.128,0.079,23.67,43.0666,1,0,19
34,0.5014000000000003,0.5114000000000003,HOLD,0.3333,1.1406,,3.37,0.0328,0,0,19
35,0.5114000000000003,0.5214000000000003,HOLD,0.3333,-8.853,,2.33,0.0075,0,0,19
36,0.5214000000000003,0.5314000000000003,HOLD,0.0,-18.8476,,2.79,0.0049,0,0,19
37,0.5314000000000003,0.5414000000000003,HOLD,0.0,-28.8431,,2.21,0.005,0,0,19
38,0.5414000000000003,0.5514000000000003,HOLD,-0.3333,3.5096,0.0532,12.58,42.3424,0,1,20
39,0.5514000000000003,0.5614000000000003,HOLD,-0.3333,-6.4643,,18.92,0.0197,0,0,20
40,0.5614000000000003,0.5714000000000004,HOLD,0.0,110.8754,0.0685,14.71,127.3439,1,0,22
41,0.5714000000000004,0.5814000000000004,HOLD,0.3333,100.8869,,3.33,0.0229,0,0,22
42,0.5814000000000004,0.5914000000000004,HOLD,0.3333,90.8956,,2.33,0.0097,0,0,22
43,0.5914000000000004,0.6014000000000004,HOLD,0.0,80.9005,,2.21,0.005,0,0,22
44,0.6014000000000004,0.6114000000000004,HOLD,0.0,70.905,,2.08,0.0046,0,0,22
45,0.6114000000000004,0.6214000000000004,HOLD,0.0,60.9091,,1.96,0.0042,0,0,22
46,0.6214000000000004,0.6314000000000004,HOLD,0.0,50.9132,,1.96,0.004,0,0,22
47,0.6314000000000004,0.6414000000000004,HOLD,0.0,40.9172,,1.96,0.0041,0,0,22
48,0.6414000000000004,0.6514000000000004,HOLD,0.0,30.9213,,2.0,0.004,0,0,22
49,0.6514000000000004,0.6614000000000004,HOLD,0.0,20.9253,,1.96,0.0041,0,0,22
50,0.6614000000000004,0.6714000000000004,HOLD,0.0,10.9293,,1.87,0.0041,0,0,22
51,0.6714000000000004,0.6814000000000004,HOLD,0.0,0.9602,,2.79,0.03,0,0,22
52,0.6814000000000004,0.6914000000000005,HOLD,0.3333,-9.0032,,18.92,0.0205,1,0,22
53,0.6914000000000005,0.7014000000000005,HOLD,0.0,23.5259,0.0575,14.13,42.5339,0,1,23
54,0.7014000000000005,0.7114000000000005,HOLD,0.0,13.5401,,3.04,0.0253,0,0,23
55,0.7114000000000005,0.7214000000000005,HOLD,-0.3333,3.5464,,2.46,0.0069,0,0,23
56,0.7214000000000005,0.7314000000000005,HOLD,0.0,-6.449,,2.04,0.005,0,0,23
57,0.7314000000000005,0.7414000000000005,HOLD,-0.3333,26.854,0.0452,11.87,43.2932,0,1,24
58,0.7414000000000005,0.7514000000000005,HOLD,-0.3333,16.8649,,3.58,0.0192,0,0,24
59,0.7514000000000005,0.7614000000000005,HOLD,-0.3333,6.8706,,2.29,0.007,0,0,24
60,0.7614000000000005,0.7714000000000005,HOLD,-0.3333,82.1159,0.0568,16.58,85.231,0,1,25
61,0.7714000000000005,0.7814000000000005,HOLD,-0.3333,72.135,,3.75,0.0319,0,0,25
62,0.7814000000000005,0.7914000000000005,HOLD,-0.3333,62.141,,2.25,0.0075,0,0,25
63,0.7914000000000005,0.8014000000000006,HOLD,0.0,52.1457,,2.37,0.0046,0,0,25
64,0.8014000000000006,0.8114000000000006,HOLD,0.0,42.15,,2.04,0.0046,0,0,25
65,0.8114000000000006,0.8214000000000006,HOLD,0.0,32.1542,,2.04,0.0042,0,0,25
66,0.8214000000000006,0.8314000000000006,HOLD,0.0,22.1674,,2.17,0.013,0,0,25
67,0.8314000000000006,0.8414000000000006,HOLD,0.0,12.1718,,1.96,0.0046,0,0,25
68,0.8414000000000006,0.8514000000000006,HOLD,0.0,2.1759,,1.96,0.0041,0,0,25
69,0.8514000000000006,0.8614000000000006,HOLD,0.0,-7.8201,,1.96,0.004,0,0,25
70,0.8614000000000006,0.8714000000000006,HOLD,0.0,-17.8158,,2.04,0.0042,0,0,25
71,0.8714000000000006,0.8814000000000006,HOLD,-0.3333,14.8552,0.1024,28.08,42.645,0,1,28
72,0.8814000000000006,0.8914000000000006,HOLD,-0.3333,4.8736,,5.38,0.0411,0,0,28
73,0.8914000000000006,0.9014000000000006,HOLD,0.0,-5.1154,,4.79,0.0115,1,0,28
74,0.9014000000000006,0.9114000000000007,HOLD,0.3333,-15.1064,,4.21,0.0096,0,0,28
75,0.9114000000000007,0.9214000000000007,HOLD,0.3333,-25.0978,,4.17,0.0086,0,0,28
76,0.9214000000000007,0.9314000000000007,HOLD,-0.6667,8.1003,0.1209,28.83,43.1735,0,2,29
77,0.9314000000000007,0.9414000000000007,HOLD,-0.6667,-1.8799,,5.67,0.043,0,0,29
78,0.9414000000000007,0.9514000000000007,HOLD,-0.3333,30.5147,0.195,52.17,42.3481,1,0,31
79,0.9514000000000007,0.9614000000000007,HOLD,0.3333,20.5743,,16.17,0.0956,0,0,31
80,0.9614000000000007,0.9714000000000007,HOLD,0.3333,10.6015,,11.5,0.0319,0,0,31
81,0.9714000000000007,0.9814000000000007,HOLD,0.0,0.625,,11.08,0.0239,0,0,31
